periodo_bcrp,fecha,tasa_referencia,tasa_interbancaria,tamn,tipmn
Sep.2003,2003-09,2.75,2.77,21.9902186667481,2.89976033234867
Oct.2003,2003-10,2.75,2.71,21.9101541648958,2.83119777956817
Nov.2003,2003-11,2.5,2.6,22.2842521455174,2.70574495873859
Dic.2003,2003-12,2.5,2.51,22.2760937300444,2.54113054441212
Ene.2004,2004-01,2.5,2.41,23.6764944144547,2.46546691386438
Feb.2004,2004-02,2.5,2.52,24.1130381784337,2.43653731134061
Mar.2004,2004-03,2.5,2.48,24.52871,2.36806
Abr.2004,2004-04,2.5,2.49,24.2267514394757,2.33400023813874
May.2004,2004-05,2.5,2.48,24.38548,2.35806
Jun.2004,2004-06,2.5,2.46,25.056,2.38033333
Jul.2004,2004-07,2.5,2.44,25.0171427735071,2.34820966267379
Ago.2004,2004-08,2.75,2.67,25.1177419,2.4216129
Sep.2004,2004-09,2.75,2.73,25.0843,2.44167
Oct.2004,2004-10,3,2.93,24.9516,2.466452
Nov.2004,2004-11,3,3.02,24.581,2.505
Dic.2004,2004-12,3,3,25.35651,2.4864516
Ene.2005,2005-01,3,2.98,26.2773405462592,2.50828053004648
Feb.2005,2005-02,3,2.9,26.21,2.53
Mar.2005,2005-03,3,2.93,26.2442891488184,2.5229533172354
Abr.2005,2005-04,3,3.03,25.9467750925842,2.56262822926785
May.2005,2005-05,3,3.01,25.7359313355475,2.65247895003757
Jun.2005,2005-06,3,2.99,25.9918668608436,2.67742542150493
Jul.2005,2005-07,3,3.01,25.9798262755594,2.64
Ago.2005,2005-08,3,2.96,25.7,2.6
Sep.2005,2005-09,3,2.99,25.59,2.6
Oct.2005,2005-10,3,3.04,24.61,2.6
Nov.2005,2005-11,3,3.02,24.49,2.59
Dic.2005,2005-12,3.25,3.34,23.63,2.59
Ene.2006,2006-01,3.5,3.58,24.14,2.75
Feb.2006,2006-02,3.75,3.82,24.08,2.93
Mar.2006,2006-03,4,4.12,24.28,2.96
Abr.2006,2006-04,4.25,4.42,24.26,3.25
May.2006,2006-05,4.5,4.48,24.38,3.41
Jun.2006,2006-06,4.5,4.53,24.34467,3.38567
Jul.2006,2006-07,4.5,4.5,24.14,3.289
Ago.2006,2006-08,4.5,4.44,24.05,3.31
Sep.2006,2006-09,4.5,4.51,23.89,3.34
Oct.2006,2006-10,4.5,4.5,23.42,3.31
Nov.2006,2006-11,4.5,4.48,23.14,3.34
Dic.2006,2006-12,4.5,4.51,23.08,3.19
Ene.2007,2007-01,4.5,4.47,23.75,3.17
Feb.2007,2007-02,4.5,4.48,23.57,3.24
Mar.2007,2007-03,4.5,4.51,23.4,3.22
Abr.2007,2007-04,4.5,4.51,22.7813333333333,3.1
May.2007,2007-05,4.5,4.49,22.13,3.12
Jun.2007,2007-06,4.5,4.52,22.41,3.13
Jul.2007,2007-07,4.75,4.69,23.2684,3.1697
Ago.2007,2007-08,4.75,4.77,22.86484,3.18484
Sep.2007,2007-09,5,4.97,22.5383333333333,3.305
Oct.2007,2007-10,5,4.98,22.75742,3.35258
Nov.2007,2007-11,5,4.99,22.543,3.41769
Dic.2007,2007-12,5,4.99,22.28445,3.34774
Ene.2008,2008-01,5.25,4.44,23.25774,3.24677
Feb.2008,2008-02,5.25,5.02,23.3324137931035,3.23827586206897
Mar.2008,2008-03,5.25,5.21,23.8580645,3.259032258
Abr.2008,2008-04,5.5,5.37,23.8103333333333,3.24233333333333
May.2008,2008-05,5.5,5.52876,23.5655,3.3832
Jun.2008,2008-06,5.75,5.6801,23.7253,3.517666667
Jul.2008,2008-07,6,5.91071,23.69548387,3.49870968
Ago.2008,2008-08,6.25,6.208432,23.87355,3.59161
Sep.2008,2008-09,6.5,6.43,24.3333333333333,3.65566666666667
Oct.2008,2008-10,6.5,6.6015,24.07032,3.71613
Nov.2008,2008-11,6.5,6.5451,23.53833,3.89233
Dic.2008,2008-12,6.5,6.5354,23.02097,3.83548
Ene.2009,2009-01,6.5,6.57342856,22.92548,3.87194
Feb.2009,2009-02,6.25,6.43575271,22.88786,4.07929
Mar.2009,2009-03,6,6.07282322,22.64355,3.96774
Abr.2009,2009-04,5,5.3285,21.95667,3.704
May.2009,2009-05,4,4.26514,20.71935,3.3429
Jun.2009,2009-06,3,3.1308,20.69067,3.00767
Jul.2009,2009-07,2,2.24,20.57903,2.61032
Ago.2009,2009-08,1.25,1.33,20.22484,2.27548
Sep.2009,2009-09,1.25,1.2031,20.18367,2.078
Oct.2009,2009-10,1.25,1.15272,19.9171,1.79032
Nov.2009,2009-11,1.25,1.2190023518,19.83067,1.656
Dic.2009,2009-12,1.25,1.24234,19.94419,1.55581
Ene.2010,2010-01,1.25,1,19.97548,1.444581
Feb.2010,2010-02,1.25,1.21524,19.76036,1.39174
Mar.2010,2010-03,1.25,1.23264,19.48806,1.35968
Abr.2010,2010-04,1.25,1.2197,19.39367,1.29767
May.2010,2010-05,1.5,1.4461,19.17935,1.33258
Jun.2010,2010-06,1.75,1.62,19.124,1.38977
Jul.2010,2010-07,2,1.9,18.205,1.4506
Ago.2010,2010-08,2.5,2.377,18.0813,1.6216
Sep.2010,2010-09,3,2.741,18.3447,1.748
Oct.2010,2010-10,3,2.945,18.7145,1.839
Nov.2010,2010-11,3,2.974,18.718,1.842
Dic.2010,2010-12,3,2.9789,18.733,1.802
Ene.2011,2011-01,3.25,3.2107,18.679,1.865
Feb.2011,2011-02,3.5,3.3868,18.58,1.989
Mar.2011,2011-03,3.75,3.6787,18.6542,2.0394
Abr.2011,2011-04,4,3.9686,18.512,2.0897
May.2011,2011-05,4.25,4.2338,18.4926,2.3042
Jun.2011,2011-06,4.25,4.277,18.581,2.477
Jul.2011,2011-07,4.25,4.2598,18.54,2.4761
Ago.2011,2011-08,4.25,4.2298,18.659,2.5197
Sep.2011,2011-09,4.25,4.272,18.717,2.5533
Oct.2011,2011-10,4.25,4.2683,19.0103,2.5842
Nov.2011,2011-11,4.25,4.2555,18.849,2.5703
Dic.2011,2011-12,4.25,4.2422,18.861,2.4681
Ene.2012,2012-01,4.25,4.2288,19.0294,2.4645
Feb.2012,2012-02,4.25,4.2284,18.7579,2.5004
Mar.2012,2012-03,4.25,4.25,19.0135,2.5203
Abr.2012,2012-04,4.25,4.241,19.2147,2.4393
May.2012,2012-05,4.25,4.2429,19.341,2.4561
Jun.2012,2012-06,4.25,4.231,19.6167,2.4757
Jul.2012,2012-07,4.25,4.2458,19.469,2.4835
Ago.2012,2012-08,4.25,4.2191,19.4068,2.4274
Sep.2012,2012-09,4.25,4.234,19.3003,2.4527
Oct.2012,2012-10,4.25,4.2392,19.3323,2.4474
Nov.2012,2012-11,4.25,4.2479,19.2763,2.4423
Dic.2012,2012-12,4.25,4.2439,19.085,2.37
Ene.2013,2013-01,4.25,4.1518,19.4116,2.3774
Feb.2013,2013-02,4.25,4.2008,19.27,2.3671
Mar.2013,2013-03,4.25,4.2404,19.0781,2.2871
Abr.2013,2013-04,4.25,4.2005,19.0897,2.309
May.2013,2013-05,4.25,4.2542,18.9452,2.3039
Jun.2013,2013-06,4.25,4.2605,18.8077,2.3187
Jul.2013,2013-07,4.25,4.3269,18.4748,2.3271
Ago.2013,2013-08,4.25,4.5161,18.1187,2.3158
Sep.2013,2013-09,4.25,4.2737,17.5843,2.3467
Oct.2013,2013-10,4.25,4.2484,16.6471,2.3432
Nov.2013,2013-11,4,4.183,16.3673,2.3327
Dic.2013,2013-12,4,4.0884,15.8765,2.2697
Ene.2014,2014-01,4,4.121,15.9881,2.2552
Feb.2014,2014-02,4,4.1738,15.8071,2.2636
Mar.2014,2014-03,4,4.0133,15.6132,2.2732
Abr.2014,2014-04,4,4.0539,15.5293,2.2957
May.2014,2014-05,4,3.954,15.6132,2.3419
Jun.2014,2014-06,4,3.9999,16.0437,2.403
Jul.2014,2014-07,3.75,3.8491,15.9294,2.3829
Ago.2014,2014-08,3.75,3.7588,15.8752,2.3319
Sep.2014,2014-09,3.5,3.6975,15.689,2.324
Oct.2014,2014-10,3.5,3.5292,15.5535,2.3087
Nov.2014,2014-11,3.5,3.6415,15.6087,2.2923
Dic.2014,2014-12,3.5,3.7956,15.6694,2.2739
Ene.2015,2015-01,3.25,3.3439,16.1668,2.2448
Feb.2015,2015-02,3.25,3.4305,15.9979,2.22
Mar.2015,2015-03,3.25,3.3527,16.0777,2.2281
Abr.2015,2015-04,3.25,3.5151,15.9223333333333,2.21466666666667
May.2015,2015-05,3.25,3.4798,16.0042,2.2732
Jun.2015,2015-06,3.25,3.4243,16.1823,2.2477
Jul.2015,2015-07,3.25,3.4638,16.1542,2.2132
Ago.2015,2015-08,3.25,3.6141,16.2516,2.2558
